Event, mu_E, mu_Px, mu_Py, mu_Pz, B1_E, B1_Px, B1_Py, B1_Pz, B2_E, B2_Px, B2_Py, B2_Pz, J1_E, J1_Px, J1_Py, J1_Pz, J2_E, J2_Px, J2_Py, J2_Pz, J3_E, J3_Px, J3_Py, J3_Pz
800, 81082.2, -14301.2, 30394.7, 73796.6, 457779, 63780.4, -98213.4, 442448, 109809, -37282.7, 90144, 49068.7, 54531.8, -40515.6, 15511.2, 32590.7, 42723.6, 3105.45, -40956.7, 10484.8, 40143.8, -7799.83, -28915, 25782.9
842, 53939.2, -14554.6, -44956.6, -26009.5, 80157.1, 64168.3, -14237.1, 45211.9, 142077, -24684.8, 42203.6, 133156, 93173.1, -1111.39, -75028.3, 54770.3, 51608.5, -16034.4, 45808, -16079.3, 51636.4, -28028.4, 28125.6, 31676
849, 41140.7, 12355.4, 38021.8, 9707.46, 244230, 2838.17, 101132, 221807, 88581.1, 4253.04, -71661.2, 50684.9, 114625, -72879.2, 20080.5, -85403.4, 193801, 24978.2, -49688.4, 185495, 119889, -8470.1, 25643.3, 116713
850, 109548, 8293.03, 53010.9, 95508.1, 163947, -78749.4, 9908.99, 143219, 69850.4, 28592.7, 50532.8, 37905.2, 147885, 67455.5, -60777.9, 116340, 31818.2, 23354.2, -20433.9, -5715.67, 32004.7, -1056.92, -29772.3, -11597.8
863, 226589, -144136, 106698, 138503, 220939, 169585, 10954.8, -140513, 129820, 2542.98, 50779.7, 119277, 191588, 164167, -50582.7, -83276.4, 73750.9, 30741.5, -55719.9, -35122.9, 221393, -33840.7, -41455.9, 214615
873, 133081, 16980.2, -127906, 32592.7, 123883, -30844.7, -118947, -5940.32, 239356, 7765.84, -85679.2, 223012, 556662, -65735.2, 285109, -473109, 117226, 20381.7, 73973.3, -87749.9, 198284, 18150.8, 45229.8, 192064
898, 52171.6, 41816.8, -16515.7, -26466.1, 81524, 39379.3, -32264.2, 63075.8, 90281.3, 21846.5, 23578.9, 84209.5, 343281, -216893, -18726.3, 264765, 142751, 118422, -495.378, 79169.6, 42289.9, 4922.52, 26927.3, 31876.5
906, 74535.6, 71908.5, -13936.5, 13801.5, 93357.5, -10235, 89774.9, -20154, 33827.1, -29819.8, -10595.3, 9867.23, 128033, 47255, -13515.2, 117950, 70579.9, 30552.4, 16001.2, 61310.2, 77569.4, -11553.6, -28693.4, 70789
909, 85157.6, -70546.3, -27418.2, -39029, 93538.1, 48974.6, -27902.8, -73899.4, 39578.9, -17081, 33679, -8249.01, 578255, 133527, 4034.51, 562503, 189559, -76080.7, 42958.7, -168050, 140773, -12270.6, 29345.6, -137034
910, 117585, 23100.6, -22771.6, 113023, 218056, 16820.9, -112256, 185807, 63793.7, -52420.5, 23473.1, 26191.3, 62844.7, -27146.7, 56255.4, -748.845, 103184, -2230.51, 31216.7, -98237.7, 41460.3, -12411.9, -28670.3, -26819.5
920, 79551.8, 30733.4, -55053, -48508.8, 118910, 43018.8, 8106.92, -110475, 129929, 30092.4, 23088.8, -124171, 50407.6, -30257, -37777.5, -11290.2, 46577.8, 31216, 22525.7, -25613.6, 26216.2, -6926.28, -24751.5, 2610.63
924, 112088, -49040.9, -54299, 84913.6, 177609, 124899, 47806.2, 114196, 50969.5, -11835.1, 48721.2, -5689.91, 404728, -86307.1, -22084.3, 394743, 148855, -32903.2, -65396.8, -129121, 180778, 16116.2, 37547.6, 175995
933, 109033, -17820.8, -31850.3, -102743, 77661.3, -3076.84, 56827.5, -52401.7, 48519.2, 24910.3, 35433.6, 20839.2, 71392.4, -22893.6, -58719.6, -33057.5, 55056.8, -53524.6, -2665.1, -10628.2, 86821.6, 28577.3, -17964.6, -79813.7
934, 57246, 34833.6, 5654.41, 45074.9, 154452, -70485.5, -5252.54, -136907, 108500, -39188.8, 44829.8, 90516.8, 233286, -97706.1, -126286, -169626, 190105, -15235.6, -117553, -147806, 138924, 39170, 49506.1, 123392
938, 135499, -25147.8, 12641.8, 132543, 139425, 87152.6, -35166.8, 102351, 31199.7, 9287.19, 25233.1, 14705.7, 198704, -143619, 101597, -89801.8, 39112.4, 14482.5, -21368.1, 28760, 96452, 4082.6, -25210.4, -92881.5
973, 140466, -116878, 30479.4, 71702.5, 77277.9, -74876.5, -1167.96, 16247.4, 93972.7, 38706.7, 49744, -68701.8, 233571, 95465.4, -80409, -196151, 216812, 2475.31, -60401.1, 208117, 140711, 58982.1, 7123.45, -127210
975, 76855.6, -28465.2, 18624.2, -68917.7, 561954, -34540.9, 109428, -549692, 129922, 57516.6, -94547.2, -65010.2, 34748.3, -19607.3, 20683.9, 18877.4, 32247.9, -18249.8, -20612.4, 15365.2, 58952.3, -21148.5, -16944.2, 52082.6
992, 71179.2, 15033.8, 24685.1, 65046.9, 265061, 21899.3, 133238, 227901, 50218, -29584.1, -34725.6, -19042.6, 144072, 10239, -140203, 27312.8, 27840.4, 21880.4, 16960.8, -320.222, 66943.4, 125.218, -26011.2, 61617
994, 51338.7, -19957.2, 29424.8, 37034.4, 104635, 73172.5, 8116.17, 73790.8, 123003, -57450.1, -12094.7, 107936, 213438, -61802.4, -66749.7, 192961, 44977.8, 707.722, -35767.9, 26214.7, 96412.1, -7854.13, 30171.4, 91065.9
996, 63963.5, -43104.7, 16040.3, 44452.5, 83161.2, 45964.6, 51580, 45565.8, 111114, 3413.81, 42975, 102141, 222817, 71048.2, -30920.3, -208634, 42871.3, -41969.2, 6748.32, -2817.02, 55432, 5139.28, -40172.8, 36897
997, 94143.3, 2654.43, -32894.5, 88169.5, 273535, -90810.5, -104301, 235361, 315326, 53305.4, 71091.7, 302223, 233607, -1446.69, 94575.9, 212982, 236897, -44971.7, 23314.7, 231338, 95597.4, -17906, -30207.1, 88906.3
1017, 39866.1, -12392, 33657.9, -17403.4, 101539, -90357.8, 14835.5, 43335.1, 55141.2, -4761.1, -36929, 40274.4, 115274, 108747, -31537.2, 20390.8, 69755.6, 47649.2, -11749.7, -49344.6, 67860.2, -2329.47, 24896.1, -62952.2
1018, 502516, 43006.4, 92559, 492042, 149891, -39415.2, 48445.3, 135992, 56983.2, -38067.6, 19316.8, 37236.1, 90869.3, 52323.4, -61675.5, 40669.9, 106427, -21721.9, -74204.2, 71983.5, 84249.6, 45272.4, 24901.5, 66227.2
1054, 553710, -161051, -100260, 520197, 102215, 38610.2, 82353.4, 44618.7, 168480, 23493.8, -75011.6, 148854, 195308, 111089, 41002.5, 155287, 210631, -18922.6, 31344.4, 207315, 33769.5, 1995.3, -33040, 2703.43
1062, 172220, -18832.5, -115063, -126751, 456460, 25443.1, 140927, -433276, 169005, -105438, -71920.8, -110492, 61398.6, -41943.2, 4129.14, -44175.6, 129415, 34111.1, -2690.82, 124723, 31824.3, 25995.7, -16730.2, -1020.02
1069, 123500, 10818.1, 40439.4, -116189, 216528, 127714, -68930.8, -160388, 57565.8, -19722.9, 15394.7, -51639.7, 41302, -32881.6, 20657.8, -12657, 43535.1, -28783.6, -13347.2, 28877.2, 51448.6, -29820.5, -5493.39, -40893.3
1104, 102891, 83990, 59313.8, 3767.49, 236271, 16930.3, 222320, -75247.1, 55758, 20388.8, -48904.2, -13143.8, 1.14145e+06, 3153.09, -247158, 1.11412e+06, 116904, -35982.7, 109202, 16818.3, 352283, -56261.7, -77039.4, 338554
1119, 78858.5, -28315.1, 32761.9, -65905.8, 107909, -1524.86, 78380.8, -73630, 67668.7, -23825.3, -46704.8, -42270.9, 104479, 98885.4, -31510, 11466.6, 55485.4, -33188.7, 14026.8, 41582.2, 40775.7, 13118.7, -29375.6, -24568.9
1122, 60269.8, 9177.01, 31978.8, 50255.2, 428361, -95285, -40893.7, -415385, 77110.4, 30538.6, 66581.5, -22561.7, 49409.2, 33812, 3826.36, 35202.2, 123931, 20343.3, -27171.8, -119081, 71192.1, 2753.13, -25129.6, -66447.7
1139, 127855, -44833.5, -119103, 12294.5, 95740.8, 40600.5, -6568.88, 86033.2, 183857, -3763.33, -31098.1, -181055, 184703, 92770.7, 135670, -82333.6, 252382, -64788, 39036.6, -240391, 68283.1, 27113.5, -40282.5, -47701.5
1157, 94333.3, 62611.7, 38242.6, -59296.2, 90933.6, -22151.8, -87452.1, 1554.74, 47520.8, 3771.83, -28223.2, -37987.5, 105124, -78760.6, -3743.74, -69055.4, 45058.2, 12881.8, 40781.4, -11928.7, 221541, 18803.3, -33846.8, 218090
1192, 92265.8, -84632.3, -25990.1, -25977.9, 153423, 95885.3, 61994.3, -99708.9, 29006.5, 26247.8, -10544.5, 4087.83, 87894.4, -51202.8, -60209.6, -35115.7, 77120, 5700.03, 61942.2, -44649.9, 156498, -16184.5, -19730, 154360
1199, 80214.5, -47640.6, -41951.8, 49038.6, 219203, 114067, 34487.3, 183632, 102725, 26601.3, -13211.7, -98221.7, 119370, -51515.5, 83302.7, -66967.2, 149465, -45491.9, 2751.22, -142002, 61954.6, 6357.83, 39760, -45616.9
1226, 56969.9, 18336.7, 47312.6, 25900.6, 72396.2, 69139, -5584.16, -16596.8, 47864.6, 13812.4, -39052.9, 23356.3, 147547, -59514.7, -55343.6, 122450, 212699, 50236.4, -20733, 205521, 75147.9, -42714.9, -8492.22, 60742.5
1227, 95062.1, -52494.1, -70159.4, 36862.2, 393633, 106487, 102139, -364450, 99510.4, -80172.7, -57329, 1548.97, 88777.5, 4655.25, -87530.1, 859.12, 89560, 4601.75, 41116.1, -79247.3, 36638.8, -8885, 34824.7, -5059.5
1267, 47427.4, -37097.4, -28957.9, 5880.35, 246857, 65273.8, 153516, 180638, 65474, -64680.8, -5015.05, -32.8571, 163315, 32887.4, 14140.3, 159254, 36247.9, 33281.1, 4088.67, 12828, 64496.8, 21873.6, 16758.5, 58106.7
1274, 133709, -24149.6, 46223.4, -123119, 64556.1, 30534.1, 54307.5, -14654.3, 32854.7, 3282.52, -30970.8, -8526.96, 91955.1, 48395.8, -75243.7, 19113.4, 76952.2, 62814.1, -39365.2, 17817.8, 273138, 43211.3, -57615, -263084
1287, 71639.5, 1332.78, -47199.7, 53875.9, 214982, 22223.1, 89289.9, -194074, 59493.7, 28776.1, -25523.1, -44753.1, 182040, 21888.1, -52181.3, -172887, 112036, -17331.3, -34792.1, -104830, 47901.5, -13725.8, 22033.8, -40215.5
1294, 192857, -17088.4, -50715, -185283, 117747, 62941, -21750.2, -96744.7, 30316.8, -24456.3, -14644.3, 8702.19, 156580, 46426.3, 80264.7, -126075, 73433.1, 9267.26, 68694.8, -21754.5, 90039.3, -34926.6, 48744.5, -66945.5
1313, 154423, 17945.9, 23878.2, -151506, 101873, -47837, 78615.6, -43020.8, 107006, 58558.2, -27049.6, -85049.2, 293834, 3808.13, -112796, -270527, 41742.1, -39482.8, 463.855, 12925.5, 33687.4, 32484.7, 343.041, -7877.43
